UNIPROT,pvalue,qvalue,effectSize,directedEffect
P08238,0.003197538,0.01777236,0.57926846,0.57926846
P08263,0.28114936,0.38943195,0.55243206,-0.55243206
P08319,0.7649067,0.8362236,0.043952942,-0.043952942
P08574,0.01879123,0.05475524,1.4148693,-1.4148693
P08670,0.6608356,0.7568994,0.12438774,0.12438774
P08727,0.032256596,0.0800276,1.0742512,1.0742512
P08729,0.000133358,0.003142302,2.8342342,2.8342342
P08758,0.014568609,0.045723904,0.38610744,0.38610744
P08779,0.70537597,0.79035854,0.8071337,-0.8071337
P08865,0.28954753,0.3977118,0.3464775,-0.3464775
P09110,0.02568385,0.06770337,0.66814804,0.66814804
P09210,0.20946024,0.3202195,3.650445,-3.650445
P09327,0.66461766,0.7588071,0.4638033,0.4638033
P09382,0.23991194,0.34965447,0.5140343,-0.5140343
P09417,0.007237008,0.028906431,1.220623,1.220623
P09467,0.000375813,0.005196151,3.5365639,3.5365639
P09493,0.060546033,0.12829657,0.4668274,-0.4668274
P09497,0.23800357,0.34965447,0.3763733,0.3763733
P09525,0.041401193,0.096692674,0.7439022,0.7439022
P09622,0.001559873,0.011473483,2.4727354,-2.4727354
P09651,0.001716535,0.012066226,1.8013735,1.8013735
P09874,0.2535164,0.36427101,1.9651289,-1.9651289
P09972,0.005773749,0.025089554,4.1439543,-4.1439543
P10515,0.000953044,0.008760673,1.9026098,1.9026098
P10599,0.19988783,0.3062382,0.61938,0.61938
P10644,0.30576152,0.41131505,0.6781082,-0.6781082
P10768,0.004953338,0.022197142,0.39557838,0.39557838
P10809,0.009062542,0.033488203,0.6213207,-0.6213207
P10909,0.012235377,0.041186675,1.2604656,1.2604656
P11021,0.112357,0.20061366,0.36978722,0.36978722
P11142,0.46172938,0.5727681,0.3222046,-0.3222046
P11310,0.91497463,0.94258136,0.01684475,-0.01684475
P11413,0.28833014,0.39679974,3.724659,-3.724659
P11498,0.70342106,0.79035854,0.089369774,0.089369774
P11586,0.046940975,0.10484946,0.97899437,0.97899437
P11712,0.54539526,0.6561213,0.42807102,-0.42807102
P11766,0.64392734,0.7434715,0.10361862,-0.10361862
P11940,0.007191178,0.028906431,0.84300137,-0.84300137
P12236,0.3661734,0.4778483,1.7967625,-1.7967625
P12268,0.63508314,0.7356291,0.4006691,0.4006691
P12814,0.007256103,0.028906431,1.4407501,1.4407501
P12955,0.28134698,0.38943195,0.5773773,0.5773773
P12956,5.74E-05,0.002293301,3.9032183,3.9032183
P13010,0.16294804,0.26498854,0.26996803,0.26996803
P13073,0.50256246,0.61596084,0.14724064,0.14724064
P13639,0.004693149,0.021766856,0.6992693,-0.6992693
P13645,0.7671019,0.83715636,0.44029617,0.44029617
P13647,0.3517607,0.4654514,2.204008,-2.204008
P13667,0.001098621,0.009370263,0.67776394,0.67776394
P13693,0.009365832,0.034087818,0.77926826,-0.77926826
P13796,0.007612889,0.029665437,0.79094696,0.79094696
P13797,0.004341876,0.021220481,3.4530125,3.4530125
P13804,0.005628104,0.024605792,0.7574625,0.7574625
P13929,0.004518457,0.021678977,1.7989311,-1.7989311
P13987,0.001616209,0.011473483,1.517271,-1.517271
P14314,0.020779386,0.05730313,0.7872658,0.7872658
P14550,0.001903261,0.012635537,3.954877,3.954877
P14618,0.100052364,0.18489057,0.7356386,0.7356386
P14625,0.001471607,0.011106757,0.5497284,0.5497284
P14866,0.002212971,0.014166962,1.1633406,1.1633406
P14868,0.003374594,0.018330177,1.4504461,1.4504461
P14923,0.23044668,0.34422964,1.3990221,-1.3990221
P14927,0.037066434,0.088488355,0.6739521,0.6739521
P15121,0.15890788,0.26157108,1.1185026,1.1185026
P15144,0.02696787,0.06958932,0.96277523,0.96277523
P15311,0.5576381,0.66380006,0.074588776,0.074588776
P15374,0.29160824,0.3997763,0.53117085,-0.53117085
P15880,0.13603836,0.23334809,1.554246,-1.554246
P15924,0.25964436,0.36991924,1.0818377,-1.0818377
P16152,0.00028551,0.004760713,2.1890411,-2.1890411
P16219,0.035226822,0.085325554,1.5094614,1.5094614
P16401,0.06443559,0.13469477,3.0022001,3.0022001
P16435,0.23660971,0.34965447,0.7223549,-0.7223549
P16615,0.001586906,0.011473483,1.3703432,-1.3703432
P16662,0.110586345,0.19822598,1.0884256,-1.0884256
P17174,0.00127639,0.010418907,0.47062492,0.47062492
P17516,3.23E-05,0.001928815,1.8194017,-1.8194017
