"TF"	"target"	"tissue"	"TF_EntrezID"	"TF_Ensembl_ID"	"target_EntrezID"	"Paper"
"HOTAIR"	"PTEN"	"Laryngeal"	100124700	"ENSG00000228630"	5728	"Li, D., et al. (2013). \"Long intergenic noncoding RNA HOTAIR is overexpressed and regulates PTEN methylation in laryngeal squamous cell carcinoma.\" Am J Pathol 182(1): 64-70."
"H19"	"MIR141"	"Liver"	283120	"ENSG00000130600"	406933	"Zhang, L., et al. (2013). \"Epigenetic activation of the MiR-200 family contributes to H19-mediated metastasis suppression in hepatocellular carcinoma.\" Carcinogenesis 34(3): 577-586."
"H19"	"MIR200A"	"Liver"	283120	"ENSG00000130600"	406983	"Zhang, L., et al. (2013). \"Epigenetic activation of the MiR-200 family contributes to H19-mediated metastasis suppression in hepatocellular carcinoma.\" Carcinogenesis 34(3): 577-586."
"H19"	"MIR200B"	"Liver"	283120	"ENSG00000130600"	406984	"Zhang, L., et al. (2013). \"Epigenetic activation of the MiR-200 family contributes to H19-mediated metastasis suppression in hepatocellular carcinoma.\" Carcinogenesis 34(3): 577-586."
"H19"	"MIR200C"	"Liver"	283120	"ENSG00000130600"	406985	"Zhang, L., et al. (2013). \"Epigenetic activation of the MiR-200 family contributes to H19-mediated metastasis suppression in hepatocellular carcinoma.\" Carcinogenesis 34(3): 577-586."
"H19"	"MIR429"	"Liver"	283120	"ENSG00000130600"	554210	"Zhang, L., et al. (2013). \"Epigenetic activation of the MiR-200 family contributes to H19-mediated metastasis suppression in hepatocellular carcinoma.\" Carcinogenesis 34(3): 577-586."
"Airn"	"Igf2r"	"Embryo"	104103	"ENSMUSG00000078247"	16004	"Latos, P. A., et al. (2012). \"Airn transcriptional overlap, but not its lncRNA products, induces imprinted Igf2r silencing.\" Science 338(6113): 1469-1472."
"MALAT1"	"ABCA1"	"Lung"	378938	"ENSG00000251562"	19	"Gutschner, T., et al. (2013). \"The noncoding RNA MALAT1 is a critical regulator of the metastasis phenotype of lung cancer cells.\" Cancer Res 73(3): 1180-1189."
"MALAT1"	"ADAMTS12"	"Lung"	378938	"ENSG00000251562"	81792	"Gutschner, T., et al. (2013). \"The noncoding RNA MALAT1 is a critical regulator of the metastasis phenotype of lung cancer cells.\" Cancer Res 73(3): 1180-1189."
"MALAT1"	"ADGRL2"	"Lung"	378938	"ENSG00000251562"	23266	"Gutschner, T., et al. (2013). \"The noncoding RNA MALAT1 is a critical regulator of the metastasis phenotype of lung cancer cells.\" Cancer Res 73(3): 1180-1189."
"MALAT1"	"BMPER"	"Lung"	378938	"ENSG00000251562"	168667	"Gutschner, T., et al. (2013). \"The noncoding RNA MALAT1 is a critical regulator of the metastasis phenotype of lung cancer cells.\" Cancer Res 73(3): 1180-1189."
"MALAT1"	"CA2"	"Lung"	378938	"ENSG00000251562"	760	"Gutschner, T., et al. (2013). \"The noncoding RNA MALAT1 is a critical regulator of the metastasis phenotype of lung cancer cells.\" Cancer Res 73(3): 1180-1189."
"MALAT1"	"CDCP1"	"Lung"	378938	"ENSG00000251562"	64866	"Gutschner, T., et al. (2013). \"The noncoding RNA MALAT1 is a critical regulator of the metastasis phenotype of lung cancer cells.\" Cancer Res 73(3): 1180-1189."
"MALAT1"	"COL6A1"	"Lung"	378938	"ENSG00000251562"	1291	"Gutschner, T., et al. (2013). \"The noncoding RNA MALAT1 is a critical regulator of the metastasis phenotype of lung cancer cells.\" Cancer Res 73(3): 1180-1189."
"MALAT1"	"CPM"	"Lung"	378938	"ENSG00000251562"	1368	"Gutschner, T., et al. (2013). \"The noncoding RNA MALAT1 is a critical regulator of the metastasis phenotype of lung cancer cells.\" Cancer Res 73(3): 1180-1189."
"MALAT1"	"CSF1"	"Lung"	378938	"ENSG00000251562"	1435	"Gutschner, T., et al. (2013). \"The noncoding RNA MALAT1 is a critical regulator of the metastasis phenotype of lung cancer cells.\" Cancer Res 73(3): 1180-1189."
"MALAT1"	"CXCL5"	"Lung"	378938	"ENSG00000251562"	6374	"Gutschner, T., et al. (2013). \"The noncoding RNA MALAT1 is a critical regulator of the metastasis phenotype of lung cancer cells.\" Cancer Res 73(3): 1180-1189."
"MALAT1"	"DRD1"	"Lung"	378938	"ENSG00000251562"	1812	"Gutschner, T., et al. (2013). \"The noncoding RNA MALAT1 is a critical regulator of the metastasis phenotype of lung cancer cells.\" Cancer Res 73(3): 1180-1189."
"MALAT1"	"GPC6"	"Lung"	378938	"ENSG00000251562"	10082	"Gutschner, T., et al. (2013). \"The noncoding RNA MALAT1 is a critical regulator of the metastasis phenotype of lung cancer cells.\" Cancer Res 73(3): 1180-1189."
"MALAT1"	"HNF4G"	"Lung"	378938	"ENSG00000251562"	3174	"Gutschner, T., et al. (2013). \"The noncoding RNA MALAT1 is a critical regulator of the metastasis phenotype of lung cancer cells.\" Cancer Res 73(3): 1180-1189."
"MALAT1"	"LAYN"	"Lung"	378938	"ENSG00000251562"	143903	"Gutschner, T., et al. (2013). \"The noncoding RNA MALAT1 is a critical regulator of the metastasis phenotype of lung cancer cells.\" Cancer Res 73(3): 1180-1189."
"MALAT1"	"LPAR1"	"Lung"	378938	"ENSG00000251562"	1902	"Gutschner, T., et al. (2013). \"The noncoding RNA MALAT1 is a critical regulator of the metastasis phenotype of lung cancer cells.\" Cancer Res 73(3): 1180-1189."
"MALAT1"	"LY6K"	"Lung"	378938	"ENSG00000251562"	54742	"Gutschner, T., et al. (2013). \"The noncoding RNA MALAT1 is a critical regulator of the metastasis phenotype of lung cancer cells.\" Cancer Res 73(3): 1180-1189."
"MALAT1"	"MCAM"	"Lung"	378938	"ENSG00000251562"	4162	"Gutschner, T., et al. (2013). \"The noncoding RNA MALAT1 is a critical regulator of the metastasis phenotype of lung cancer cells.\" Cancer Res 73(3): 1180-1189."
"MALAT1"	"MIA2"	"Lung"	378938	"ENSG00000251562"	117153	"Gutschner, T., et al. (2013). \"The noncoding RNA MALAT1 is a critical regulator of the metastasis phenotype of lung cancer cells.\" Cancer Res 73(3): 1180-1189."
"MALAT1"	"NNMT"	"Lung"	378938	"ENSG00000251562"	4837	"Gutschner, T., et al. (2013). \"The noncoding RNA MALAT1 is a critical regulator of the metastasis phenotype of lung cancer cells.\" Cancer Res 73(3): 1180-1189."
"MALAT1"	"PRKCE"	"Lung"	378938	"ENSG00000251562"	5581	"Gutschner, T., et al. (2013). \"The noncoding RNA MALAT1 is a critical regulator of the metastasis phenotype of lung cancer cells.\" Cancer Res 73(3): 1180-1189."
"MALAT1"	"RASSF6"	"Lung"	378938	"ENSG00000251562"	166824	"Gutschner, T., et al. (2013). \"The noncoding RNA MALAT1 is a critical regulator of the metastasis phenotype of lung cancer cells.\" Cancer Res 73(3): 1180-1189."
"MALAT1"	"ROBO1"	"Lung"	378938	"ENSG00000251562"	6091	"Gutschner, T., et al. (2013). \"The noncoding RNA MALAT1 is a critical regulator of the metastasis phenotype of lung cancer cells.\" Cancer Res 73(3): 1180-1189."
"MALAT1"	"STC1"	"Lung"	378938	"ENSG00000251562"	6781	"Gutschner, T., et al. (2013). \"The noncoding RNA MALAT1 is a critical regulator of the metastasis phenotype of lung cancer cells.\" Cancer Res 73(3): 1180-1189."
"MEG3"	"LC3-II"	"Bladder"	55384	"ENSG00000214548"	0	"Ying, L., et al. (2013). \"Downregulated MEG3 activates autophagy and increases cell proliferation in bladder cancer.\" Mol Biosyst 9(3): 407-411."
"NEAT1"	"HIV-1"	"Cervix"	283131	"ENSMUSG00000092274"	0	"Zhang, Q., et al. (2013). \"NEAT1 long noncoding RNA and paraspeckle bodies modulate HIV-1 posttranscriptional expression.\" MBio 4(1): e00596-00512."
"PTENP1"	"PTEN"	"Kidney"	11191	"ENSG00000237984"	5728	"Johnsson, P., et al. (2013). \"A pseudogene long-noncoding-RNA network regulates PTEN transcription and translation in human cells.\" Nat Struct Mol Biol 20(4): 440-446."
"DANCR"	"RUNX2"	"Bone"	57291	"ENSG00000226950"	860	"Zhu, L. and P. C. Xu (2013). \"Downregulated LncRNA-ANCR promotes osteoblast differentiation by targeting EZH2 and regulating Runx2 expression.\" Biochem Biophys Res Commun 432(4): 612-617."
"LINC-ROR"	"NANOG"	"Embryo"	100885779	"ENSG00000258609"	79923	"Wang, Y., et al. (2013). \"Endogenous miRNA sponge lincRNA-RoR regulates Oct4, Nanog, and Sox2 in human embryonic stem cell self-renewal.\" Dev Cell 25(1): 69-80."
