source	target	TF_EntrezID	TF_Ensembl_ID	target_EntrezID	Paper
BRD2	ETFB	NA	NA	NA	NA
BRD2	PPP2R1A	NA	NA	NA	NA
BRD2	RPS9	NA	NA	NA	NA
BRD2	RPL28	NA	NA	NA	NA
BRD2	SLC27A5	NA	NA	NA	NA
BRD2	PFN1	NA	NA	NA	NA
BRD2	ENO3	NA	NA	NA	NA
BRD2	TXNDC17	NA	NA	NA	NA
BRD2	ASGR1	NA	NA	NA	NA
BRD2	ACADVL	NA	NA	NA	NA
BRD2	EIF4A1	NA	NA	NA	NA
BRD2	RPL26	NA	NA	NA	NA
BRD2	SHMT1	NA	NA	NA	NA
BRD2	ALDH3A2	NA	NA	NA	NA
BRD2	POLDIP2	NA	NA	NA	NA
BRD2	VTN	NA	NA	NA	NA
BRD2	ALDOC	NA	NA	NA	NA
BRD2	RPL23A	NA	NA	NA	NA
BRD2	PIPOX	NA	NA	NA	NA
BRD2	PSMD11	NA	NA	NA	NA
BRD2	RPL23	NA	NA	NA	NA
BRD2	LASP1	NA	NA	NA	NA
BRD2	RPL19	NA	NA	NA	NA
BRD2	PSMD3	NA	NA	NA	NA
BRD2	JUP	NA	NA	NA	NA
BRD2	ACLY	NA	NA	NA	NA
BRD2	RAB5C	NA	NA	NA	NA
BRD2	RPL27	NA	NA	NA	NA
BRD2	KPNB1	NA	NA	NA	NA
BRD2	PHB	NA	NA	NA	NA
BRD2	LRRC59	NA	NA	NA	NA
BRD2	NME2	NA	NA	NA	NA
BRD2	NME1-NME2	NA	NA	NA	NA
BRD2	CLTC	NA	NA	NA	NA
BRD2	PSMC5	NA	NA	NA	NA
BRD2	RPL38	NA	NA	NA	NA
BRD2	SLC9A3R1	NA	NA	NA	NA
BRD2	GALK1	NA	NA	NA	NA
BRD2	ACOX1	NA	NA	NA	NA
BRD2	P4HB	NA	NA	NA	NA
BRD2	ARHGDIA	NA	NA	NA	NA
BRD2	DCXR	NA	NA	NA	NA
BRD2	FASN	NA	NA	NA	NA
BRD2	CTSB	NA	NA	NA	NA
BRD2	DPYSL2	NA	NA	NA	NA
BRD2	CLU	NA	NA	NA	NA
BRD2	GSR	NA	NA	NA	NA
BRD2	UQCRB	NA	NA	NA	NA
BRD2	RPL30	NA	NA	NA	NA
BRD2	PABPC1	NA	NA	NA	NA
BRD2	YWHAZ	NA	NA	NA	NA
BRD2	NDRG1	NA	NA	NA	NA
BRD2	NAPRT	NA	NA	NA	NA
BRD2	EEF1D	NA	NA	NA	NA
BRD2	PLEC	NA	NA	NA	NA
BRD2	CYC1	NA	NA	NA	NA
BRD2	GPT	NA	NA	NA	NA
BRD2	RPL8	NA	NA	NA	NA
BRD2	RPS7	NA	NA	NA	NA
BRD2	YWHAQ	NA	NA	NA	NA
BRD2	PDIA6	NA	NA	NA	NA
BRD2	DDX1	NA	NA	NA	NA
BRD2	RAB10	NA	NA	NA	NA
BRD2	HADHA	NA	NA	NA	NA
BRD2	HADHB	NA	NA	NA	NA
BRD2	SPTBN1	NA	NA	NA	NA
BRD2	CCT4	NA	NA	NA	NA
BRD2	UGP2	NA	NA	NA	NA
BRD2	ACTR2	NA	NA	NA	NA
BRD2	ANXA4	NA	NA	NA	NA
BRD2	PCBP1	NA	NA	NA	NA
BRD2	CCT7	NA	NA	NA	NA
BRD2	SUCLG1	NA	NA	NA	NA
BRD2	CAPG	NA	NA	NA	NA
BRD2	MAT2A	NA	NA	NA	NA
BRD2	RPL31	NA	NA	NA	NA
BRD2	ACTR3	NA	NA	NA	NA
BRD2	DPP4	NA	NA	NA	NA
BRD2	HNRNPA3	NA	NA	NA	NA
BRD2	HIBCH	NA	NA	NA	NA
BRD2	HSPD1	NA	NA	NA	NA
BRD2	HSPE1	NA	NA	NA	NA
BRD2	IDH1	NA	NA	NA	NA
BRD2	ATIC	NA	NA	NA	NA
BRD2	XRCC5	NA	NA	NA	NA
BRD2	VIL1	NA	NA	NA	NA
BRD2	TUBA4A	NA	NA	NA	NA
BRD2	PSMD1	NA	NA	NA	NA
BRD2	NCL	NA	NA	NA	NA
BRD2	LRRFIP1	NA	NA	NA	NA
BRD2	HDLBP	NA	NA	NA	NA
BRD2	SLC25A1	NA	NA	NA	NA
BRD2	SNRPD3	NA	NA	NA	NA
BRD2	NIPSNAP1	NA	NA	NA	NA
BRD2	YWHAH	NA	NA	NA	NA
