TF	target	TF_EntrezID	TF_Ensembl_ID	target_EntrezID	Paper
LMNB1	APOA2	NA	NA	NA	NA
LMNB1	ALDH9A1	NA	NA	NA	NA
LMNB1	EPHX1	NA	NA	NA	NA
LMNB1	PARP1	NA	NA	NA	NA
LMNB1	FKBP1A	NA	NA	NA	NA
LMNB1	DSTN	NA	NA	NA	NA
LMNB1	RRBP1	NA	NA	NA	NA
LMNB1	APMAP	NA	NA	NA	NA
LMNB1	CHMP4B	NA	NA	NA	NA
LMNB1	AHCY	NA	NA	NA	NA
LMNB1	EIF6	NA	NA	NA	NA
LMNB1	RPN2	NA	NA	NA	NA
LMNB1	TGM2	NA	NA	NA	NA
LMNB1	YWHAB	NA	NA	NA	NA
LMNB1	CTSZ	NA	NA	NA	NA
LMNB1	PSMA7	NA	NA	NA	NA
LMNB1	DECR2	NA	NA	NA	NA
LMNB1	HAGH	NA	NA	NA	NA
LMNB1	RPS2	NA	NA	NA	NA
LMNB1	TRAP1	NA	NA	NA	NA
LMNB1	PPL	NA	NA	NA	NA
LMNB1	UQCRC2	NA	NA	NA	NA
LMNB1	TUFM	NA	NA	NA	NA
LMNB1	QPRT	NA	NA	NA	NA
LMNB1	MVP	NA	NA	NA	NA
LMNB1	ALDOA	NA	NA	NA	NA
LMNB1	CES2	NA	NA	NA	NA
LMNB1	COX4I1	NA	NA	NA	NA
LMNB1	RPL13	NA	NA	NA	NA
LMNB1	LETM1	NA	NA	NA	NA
LMNB1	WDR1	NA	NA	NA	NA
LMNB1	PAICS	NA	NA	NA	NA
LMNB1	USO1	NA	NA	NA	NA
LMNB1	HNRNPD	NA	NA	NA	NA
LMNB1	HNRNPDL	NA	NA	NA	NA
LMNB1	SEC31A	NA	NA	NA	NA
LMNB1	RPL34	NA	NA	NA	NA
LMNB1	RPS3A	NA	NA	NA	NA
LMNB1	ACSL1	NA	NA	NA	NA
LMNB1	IVD	NA	NA	NA	NA
LMNB1	PDIA3	NA	NA	NA	NA
LMNB1	B2M	NA	NA	NA	NA
LMNB1	SORD	NA	NA	NA	NA
LMNB1	GATM	NA	NA	NA	NA
LMNB1	ANXA2	NA	NA	NA	NA
LMNB1	TPM1	NA	NA	NA	NA
LMNB1	PPIB	NA	NA	NA	NA
LMNB1	RPL4	NA	NA	NA	NA
LMNB1	ANP32A	NA	NA	NA	NA
LMNB1	PKM	NA	NA	NA	NA
LMNB1	COX5A	NA	NA	NA	NA
LMNB1	ETFA	NA	NA	NA	NA
LMNB1	PSMA4	NA	NA	NA	NA
LMNB1	ANPEP	NA	NA	NA	NA
LMNB1	IDH2	NA	NA	NA	NA
LMNB1	USP14	NA	NA	NA	NA
LMNB1	RPL17	NA	NA	NA	NA
LMNB1	ACAA2	NA	NA	NA	NA
LMNB1	CYB5A	NA	NA	NA	NA
LMNB1	CNDP2	NA	NA	NA	NA
LMNB1	YWHAE	NA	NA	NA	NA
LMNB1	PFN1	NA	NA	NA	NA
LMNB1	ENO3	NA	NA	NA	NA
