"UNIPROT	pvalue	qvalue	effectSize	directedEffect"
"P16219	0.11584813	0.20601706	0.38590336	-0.38590336"
"P16435	0.026642324	0.07434576	0.4134369	-0.4134369"
"P16662	0.03389443	0.087016225	0.57547665	-0.57547665"
"P16930	0.024691062	0.07000759	1.5427065	1.5427065"
"P17174	0.2102845	0.32064974	0.5607624	0.5607624"
"P17516	0.036010727	0.08797084	1.5756168	-1.5756168"
"P17844	0.11170159	0.20197146	0.9476528	0.9476528"
"P17980	0.001418771	0.011670603	1.913599	1.913599"
"P17987	0.38213152	0.4914902	0.18831348	-0.18831348"
"P18124	0.777704	0.8357058	0.054709435	-0.054709435"
"P18206	0.37905473	0.48923707	0.24898815	0.24898815"
"P18621	0.028318048	0.07809585	1.038351	1.038351"
"P18669	0.021636419	0.06401409	1.515008	-1.515008"
"P19338	0.02176117	0.06401409	0.6053848	0.6053848"
"P19440	0.034949042	0.08738574	1.5736971	1.5736971"
"P19971	0.212765	0.32165325	0.69557476	0.69557476"
"P20042	0.20013869	0.3081035	0.6004877	0.6004877"
"P20073	0.9375373	0.9583461	0.037486076	0.037486076"
"P20618	0.76435477	0.82402503	0.2835207	-0.2835207"
"P20674	0.37451327	0.48502836	0.20930004	-0.20930004"
"P21281	0.007978921	0.033135984	1.01682	-1.01682"
"P21333	0.6480641	0.7382998	0.1325922	-0.1325922"
"P21397	0.015220813	0.05000367	1.134676	-1.134676"
"P21399	0.000218975	0.005872558	2.7675705	2.7675705"
"P21549	0.066189036	0.13907577	0.5427532	-0.5427532"
"P21695	0.08575352	0.1677982	0.86210823	-0.86210823"
"P21796	0.62434345	0.72169906	0.13634586	0.13634586"
"P21912	0.08446334	0.16750313	0.71646595	0.71646595"
"P21980	0.046921	0.10699255	0.55496883	-0.55496883"
"P22033	0.96420884	0.9724733	0.013726234	-0.013726234"
"P22102	0.95997024	0.97097254	0.06706238	0.06706238"
"P22234	0.0636456	0.13575165	1.5269642	-1.5269642"
"P22307	0.032526877	0.085381925	1.2281227	1.2281227"
"P22314	0.1898892	0.29725447	0.29588223	0.29588223"
"P22392	0.000454292	0.007366379	2.2450657	-2.2450657"
"P22626	0.7385233	0.80586934	0.34463882	-0.34463882"
"P22695	0.010947933	0.03984145	0.78195	0.78195"
"P22760	0.015396869	0.050129246	1.7805157	-1.7805157"
"P23141	0.13679348	0.23428036	0.19775581	-0.19775581"
"P23246	0.42275086	0.5320178	1.6132326	-1.6132326"
"P23284	0.003460543	0.018793404	2.7782469	2.7782469"
"P23378	0.12789859	0.2240605	0.80228806	-0.80228806"
"P23396	0.007296416	0.031602886	2.3301497	2.3301497"
"P23526	0.006285326	0.028628642	1.250596	1.250596"
"P23528	0.07536912	0.15228741	0.5652771	-0.5652771"
"P23588	0.004187606	0.020820064	1.0259075	1.0259075"
"P23786	0.002124154	0.014127088	1.450141	1.450141"
"P24534	0.29494956	0.40750358	0.40366173	0.40366173"
"P24539	0.44669673	0.5513423	0.75916386	0.75916386"
"P24666	0.000417852	0.007118544	0.99268436	0.99268436"
"P24752	0.005176046	0.025201987	1.2478256	1.2478256"
"P25325	0.2989218	0.41138154	0.97738934	0.97738934"
"P25398	0.08825074	0.17069863	0.63564205	-0.63564205"
"P25705	0.56383085	0.6712725	0.113269806	0.113269806"
"P25786	0.02971206	0.08048877	0.8681145	0.8681145"
"P25788	0.21751577	0.32713416	0.9302101	-0.9302101"
"P26006	0.5005616	0.6072104	0.45736885	-0.45736885"
"P26038	0.8371237	0.88474435	0.05055237	-0.05055237"
"P26373	0.8767893	0.9166676	0.1006155	-0.1006155"
"P26440	0.014929605	0.049718387	1.2325516	1.2325516"
"P26599	0.24500906	0.35770178	0.43342018	-0.43342018"
"P26639	0.2003109	0.3081035	0.19918251	-0.19918251"
"P26640	0.4645943	0.57044095	0.12697697	-0.12697697"
"P26641	0.11578965	0.20601706	0.38675785	-0.38675785"
"P27105	0.24408264	0.35770178	1.2536154	-1.2536154"
"P27144	0.005999674	0.027504995	1.7014618	1.7014618"
"P27338	0.5305569	0.63811433	0.3098421	-0.3098421"
"P27348	0.9453607	0.9622722	0.092749596	0.092749596"
"P27487	0.44004306	0.54599345	0.4215622	-0.4215622"
"P27635	0.028465683	0.07819755	0.65510654	-0.65510654"
"P27797	0.14970842	0.25089124	0.57045364	0.57045364"
"P27816	0.000884745	0.010074678	1.0611839	-1.0611839"
"P27824	0.008855239	0.034962676	1.2426043	-1.2426043"
"P28066	0.000949309	0.010385159	1.9679918	1.9679918"
"P28074	0.11317204	0.20382506	0.3828535	-0.3828535"
"P28332	0.07521797	0.15228741	1.3266964	1.3266964"
"P28838	0.032765135	0.08567475	1.1321936	1.1321936"
"P29401	0.000104533	0.004337158	1.6417866	-1.6417866"
"P29692	0.014727433	0.049277566	0.6118517	-0.6118517"
"P30038	0.4033523	0.51681817	0.19472313	0.19472313"
"P30040	0.008913999	0.034962676	0.6323538	0.6323538"
"P30041	0.11780834	0.20793168	0.5396347	-0.5396347"
"P30042	0.24374661	0.35770178	0.21031094	0.21031094"
"P30043	0.03243379	0.085381925	1.2395172	1.2395172"
"P30044	0.008576135	0.034962676	0.91257954	0.91257954"
"P30048	0.025885569	0.07280959	0.8396969	0.8396969"
"P30050	0.7146019	0.7858396	0.15893841	-0.15893841"
"P30084	0.000579099	0.007751145	1.1725445	-1.1725445"
"P30085	0.085800484	0.1677982	0.4079466	0.4079466"
"P30086	0.073472284	0.15024987	1.8176031	1.8176031"
"P30101	0.41574475	0.5279061	0.19513702	-0.19513702"
"P30153	0.07306687	0.14995702	2.1568336	2.1568336"
"P30613	0.013321588	0.046229716	2.278758	2.278758"
"P30837	0.40678585	0.52027315	0.14466858	0.14466858"
"P31040	0.017125245	0.05446135	1.34476	-1.34476"
"P31327	0.032532208	0.085381925	0.76058006	0.76058006"
"P31513	0.007561217	0.03211262	1.2757082	-1.2757082"
"P31930	0.80846435	0.86349297	0.09151745	-0.09151745"
"P31937	0.003220231	0.018043516	1.2454567	1.2454567"
"P31939	0.010155873	0.037936755	1.652379	-1.652379"
"P31942	0.7465962	0.8102801	0.18809891	-0.18809891"
"P31943	0.002190613	0.014282542	4.237106	-4.237106"
"P31946	0.002610273	0.015705794	1.7546759	1.7546759"
"P31947	0.003843205	0.019661613	1.1264277	-1.1264277"
"P31948	0.8319098	0.880552	0.19738674	-0.19738674"
"P31949	0.37510696	0.48502836	0.23606205	0.23606205"
"P32119	0.011974488	0.04313259	1.560605	1.560605"
"P32754	0.002647294	0.015705794	1.1114101	-1.1114101"
"P33121	0.06933023	0.14505251	1.309185	-1.309185"
"P34896	0.8751578	0.9166676	0.031467438	-0.031467438"
"P34897	0.32103363	0.43171376	0.21997166	0.21997166"
"P34932	0.14758268	0.24926639	0.69484234	0.69484234"
"P35221	0.6494824	0.7383808	0.09758377	0.09758377"
"P35222	0.94475394	0.9622722	0.09149742	-0.09149742"
"P35232	0.31365937	0.42422128	0.12726402	-0.12726402"
"P35241	0.7899247	0.84674186	0.083916664	0.083916664"
"P35268	0.21567032	0.32534876	0.29383755	0.29383755"
"P35527	0.7200243	0.78934354	0.20126534	-0.20126534"
"P35542	0.2555249	0.36884886	3.6365404	-3.6365404"
"P35558	0.046979733	0.10699255	5.16967	-5.16967"
"P35573	0.089693636	0.17207526	0.7763643	-0.7763643"
"P35579	0.01691837	0.054046907	2.0201216	-2.0201216"
"P35754	0.005674699	0.026708914	1.8389626	-1.8389626"
"P35908	0.07164719	0.14785883	1.4321747	-1.4321747"
"P35914	0.001359314	0.011670603	1.430337	1.430337"
"P35998	0.42891267	0.53516674	2.650343	-2.650343"
"P36542	0.6231248	0.72169906	0.49659157	0.49659157"
"P36578	0.022859026	0.06668789	0.48602772	-0.48602772"
"P36776	0.15352805	0.2550372	0.27395916	0.27395916"
"P36871	0.010349733	0.038457423	2.3575382	2.3575382"
"P36957	0.029872298	0.08048877	1.41469	1.41469"
"P37802	0.033675667	0.086781695	0.8765459	0.8765459"
"P37837	0.015872527	0.05140367	0.8504715	-0.8504715"
"P38117	0.91330546	0.94417286	0.032772064	-0.032772064"
"P38159	0.000368794	0.006728065	2.2417107	2.2417107"
"P38606	0.000110579	0.004337158	1.2946663	1.2946663"
"P38646	0.0718351	0.14785883	0.4681568	0.4681568"
"P38919	0.5538685	0.66164327	0.34069538	-0.34069538"
"P39019	0.002265786	0.014282542	1.2831211	-1.2831211"
"P39023	0.5697482	0.6737726	0.07810879	-0.07810879"
"P39656	0.7172121	0.78748333	0.10089493	-0.10089493"
"P39687	0.7012775	0.77602166	0.14498043	0.14498043"
"P40227	0.001838992	0.013248244	0.91335964	0.91335964"
"P40261	0.000659443	0.008313694	3.2922344	3.2922344"
"P40429	0.64398336	0.7356831	1.3482666	-1.3482666"
"P40925	0.040686034	0.09671492	0.39150906	0.39150906"
"P40926	0.98207504	0.984865	0.004013062	-0.004013062"
"P40939	0.1166761	0.20644945	0.6764622	-0.6764622"
"P41091	0.016065072	0.051789667	3.675994	-3.675994"
"P41250	0.00170676	0.012956693	0.95183754	-0.95183754"
"P42126	0.813295	0.8647386	0.1133976	-0.1133976"
"P42330	0.14830579	0.24969739	3.1854715	-3.1854715"
"P42704	0.0016927	0.012956693	1.4478264	-1.4478264"
"P42765	0.061651118	0.13189599	0.75403404	0.75403404"
"P42766	0.17426844	0.27898747	1.0800228	-1.0800228"
"P43490	0.001365563	0.011670603	1.5631437	-1.5631437"
"P43686	0.6715174	0.75372213	0.10486698	-0.10486698"
"P45880	0.008358998	0.034310773	0.85837173	-0.85837173"
"P45954	0.044297986	0.10355756	0.9087477	0.9087477"
"P46776	0.11185669	0.20197146	2.4063673	-2.4063673"
"P46777	0.31525832	0.4255686	0.30259323	0.30259323"
"P46778	0.34966308	0.4605636	0.40144253	-0.40144253"
"P46779	0.3297762	0.44178742	0.3244362	0.3244362"
"P46781	0.049313083	0.11085698	0.38468933	-0.38468933"
"P47756	0.06469417	0.13634059	0.62276936	0.62276936"
"P47914	0.31270102	0.4237367	1.9584913	-1.9584913"
"P48047	0.002253173	0.014282542	1.1406336	-1.1406336"
"P48444	0.087799795	0.17029296	0.42905712	0.42905712"
"P48449	0.8053866	0.8615193	0.075434685	-0.075434685"
"P48637	0.07417272	0.15091048	0.5005541	-0.5005541"
"P48643	0.6061228	0.70848125	0.08260059	-0.08260059"
"P48735	0.09960802	0.18604033	0.40016174	-0.40016174"
"P49189	0.002364892	0.014645735	0.74665165	0.74665165"
"P49207	0.11977342	0.21087295	1.3248882	-1.3248882"
"P49257	0.41929093	0.5289074	0.36281872	-0.36281872"
"P49326	0.21174008	0.321072	1.1208	-1.1208"
"P49327	0.023814937	0.06834693	0.4818735	-0.4818735"
"P49368	0.20209917	0.30950546	0.21471405	-0.21471405"
